,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,12.5,13.706,,0,0,0,0,20.0
1,12.5,13.706,-15.0,0,0,0,0,20.0
2,12.5,13.706,-15.0,0,0,0,0,20.0
3,12.5,13.706,-15.0,0,0,0,0,20.0
4,12.5,13.706,-22.5,0,0,0,1,20.0
5,12.5,13.706,-15.0,0,0,1,0,10.0
6,12.5,14.082875,-15.0,0,0,0,0,20.0
7,12.5,14.082875,-22.5,0,0,0,1,20.0
8,12.5,14.082875,-15.0,0,0,1,0,10.0
9,12.5,14.45975,-15.0,0,0,0,0,20.0
10,12.5,14.45975,-22.5,0,0,0,1,20.0
11,12.5,14.45975,-15.0,0,0,1,0,10.0
12,12.5,14.45975,-5.0,0,0,0,0,20.0
13,12.5,14.45975,-5.0,0,0,0,0,20.0
14,12.5,13.706,-5.0,0,0,0,0,20.0
15,12.5,13.706,-12.5,0,0,0,1,20.0
16,12.5,13.706,-5.0,0,0,1,0,10.0
17,12.5,14.082875,-5.0,0,0,0,0,20.0
18,12.5,14.082875,-12.5,0,0,0,1,20.0
19,12.5,14.082875,-5.0,0,0,1,0,10.0
20,12.5,14.45975,-5.0,0,0,0,0,20.0
21,12.5,14.45975,-12.5,0,0,0,1,20.0
22,12.5,14.45975,-5.0,0,0,1,0,10.0
23,12.5,19.45975,-5.0,0,0,0,0,20.0
24,12.5,19.45975,-15.0,0,0,0,0,20.0
25,12.5,19.45975,-15.0,0,0,0,0,20.0
26,12.5,19.45975,-15.0,0,0,0,0,20.0
27,12.5,19.45975,-22.5,0,0,0,1,20.0
28,12.5,19.45975,-15.0,0,0,1,0,10.0
29,12.5,19.836624999999998,-15.0,0,0,0,0,20.0
30,12.5,19.836624999999998,-22.5,0,0,0,1,20.0
31,12.5,19.836624999999998,-15.0,0,0,1,0,10.0
32,12.5,20.2135,-15.0,0,0,0,0,20.0
33,12.5,20.2135,-22.5,0,0,0,1,20.0
34,12.5,20.2135,-15.0,0,0,1,0,10.0
35,12.5,20.2135,-5.0,0,0,0,0,20.0
36,12.5,20.2135,-5.0,0,0,0,0,20.0
37,12.5,19.45975,-5.0,0,0,0,0,20.0
38,12.5,19.45975,-12.5,0,0,0,1,20.0
39,12.5,19.45975,-5.0,0,0,1,0,10.0
40,12.5,19.836624999999998,-5.0,0,0,0,0,20.0
41,12.5,19.836624999999998,-12.5,0,0,0,1,20.0
42,12.5,19.836624999999998,-5.0,0,0,1,0,10.0
43,12.5,20.2135,-5.0,0,0,0,0,20.0
44,12.5,20.2135,-12.5,0,0,0,1,20.0
45,12.5,20.2135,-5.0,0,0,1,0,10.0
46,12.5,25.2135,-5.0,0,0,0,0,20.0
47,12.5,25.2135,10.0,0,0,0,0,20.0
