,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,,,,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12.5,61.875,,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4,12.5,61.875,-21.25,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,12.5,61.875,-21.25,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,11.5,61.875,-21.25,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
7,7.5,61.875,-21.25,30,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
8,7.5,69.875,-21.25,31,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
9,7.5,71.875,-21.25,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
10,7.5,71.875,-17.632,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11,7.5,66.275,-17.632,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
12,7.5,66.275,-17.632,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,7.5,66.275,-17.632,38,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,7.5,66.275,-17.632,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,7.5,66.275,-17.632,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,7.5,66.275,-17.632,43,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,7.5,61.875,-17.632,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,7.5,61.875,-18.20485,46,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
19,7.5,61.875,-20.49625,48,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
20,7.5,69.875,-20.49625,49,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
21,7.5,71.875,-20.49625,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
22,7.5,71.875,-17.632,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
23,7.5,66.275,-17.632,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
24,7.5,66.275,-17.632,54,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,7.5,66.275,-17.632,56,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,7.5,66.275,-17.632,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,7.5,66.275,-17.632,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
