,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p7_before,p7_after,p4_before,p4_after,speed
0,,,,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,,,,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12.5,42.618,,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
4,12.5,42.618,,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,12.5,42.618,,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
6,12.5,42.618,-5.0,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
7,12.5,42.618,-5.0,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,12.5,42.618,-5.0,31,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,12.5,42.618,-10.0,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
10,12.5,42.618,-10.0,34,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,12.5,42.618,-10.0,36,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,12.5,42.618,-13.25,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
13,17.5,38.618,-13.25,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
14,17.5,38.618,-17.25,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
15,17.5,38.618,-21.25,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
16,17.5,38.618,-16.25,43,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
17,17.5,38.618,-13.25,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,14.5,38.618,-13.25,46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
19,14.5,41.633,-13.25,47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
20,17.5,41.633,-17.75,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
21,17.5,41.633,-17.75,49,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,17.5,41.633,-17.75,51,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,17.5,41.633,-17.75,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,17.5,41.633,-17.75,54,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,17.5,41.633,-17.75,56,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,17.5,41.633,-13.25,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
27,17.5,39.145625,-13.25,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
