,x,y,z,line,p3_before,p3_after,p0_before,p0_after,p4_before,p4_after,p7_before,p7_after,speed
0,,,,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.5,36.382,,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2,7.5,36.382,,24,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,7.5,36.382,,25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,,,26,,,,,-1000.0,15.0,,,
5,7.5,36.382,,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
6,7.5,36.382,,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
7,7.5,43.1405,-17.5,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
8,7.5,43.1405,-17.5,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
9,7.5,43.1405,-19.249999999999996,31,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
10,7.5,43.1405,-20.0,33,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0
11,15.5,43.1405,-20.0,34,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
12,18.5,43.1405,-20.0,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
13,18.5,43.1405,-18.0,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
14,18.5,47.3615,-18.0,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
15,12.3,47.3615,-20.0,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
16,12.3,47.3615,-20.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,12.3,47.3615,-20.0,42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,12.3,47.3615,-20.0,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,12.3,47.3615,-20.0,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,12.3,47.3615,-20.0,47,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,7.5,47.3615,-20.0,49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
22,7.5,44.7761375,-20.0,50,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
23,7.5,43.668125,-20.0,52,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0
24,15.5,43.668125,-20.0,53,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
25,18.5,43.668125,-20.0,55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26,18.5,43.668125,-18.0,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
27,18.5,47.3615,-18.0,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
28,12.3,47.3615,-20.0,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
29,12.3,47.3615,-20.0,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,12.3,47.3615,-20.0,61,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,12.3,47.3615,-20.0,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,12.3,47.3615,-20.0,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,12.3,47.3615,-20.0,66,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,7.5,47.3615,-20.0,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
35,7.5,44.195750000000004,-20.0,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
36,15.5,44.195750000000004,-20.0,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
37,18.5,44.195750000000004,-20.0,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
38,18.5,44.195750000000004,-18.0,72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
39,18.5,47.3615,-18.0,73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
40,12.3,47.3615,-20.0,74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
41,12.3,47.3615,-20.0,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,12.3,47.3615,-20.0,77,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,12.3,47.3615,-20.0,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,12.3,47.3615,-20.0,80,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,12.3,47.3615,-20.0,82,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,12.3,47.3615,-20.25,84,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
47,7.5,47.3615,-20.25,85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
48,7.5,40.1255,-12.5,86,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
49,7.5,40.1255,-12.5,87,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
50,7.5,40.1255,-14.249999999999998,88,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
51,7.5,40.1255,-15.0,90,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0
52,15.5,40.1255,-15.0,91,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
53,18.5,40.1255,-15.0,93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
54,18.5,40.1255,-13.0,94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
55,18.5,44.3465,-13.0,95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
56,12.3,44.3465,-15.0,96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
57,12.3,44.3465,-15.0,97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,12.3,44.3465,-15.0,99,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,12.3,44.3465,-15.0,101,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,12.3,44.3465,-15.0,102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,12.3,44.3465,-15.0,104,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,7.5,44.3465,-15.0,106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
63,7.5,41.761137500000004,-15.0,107,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
64,7.5,40.653125,-15.0,109,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0
65,15.5,40.653125,-15.0,110,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
66,18.5,40.653125,-15.0,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
67,18.5,40.653125,-13.0,113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
68,18.5,44.3465,-13.0,114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
69,12.3,44.3465,-15.0,115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
70,12.3,44.3465,-15.0,116,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
