,x,y,z,p2_before,p2_after,speed
0,12.5,7.5,-20.0,0,0,5.0
1,12.5,7.5,-20.0,0,0,5.0
2,12.5,7.5,-20.0,0,0,5.0
3,12.5,7.5,-20.0,0,0,5.0
4,12.5,7.5,-20.0,0,1,0.0
5,12.5,7.5,-20.0,1,0,0.0
6,12.5,7.5,-17.5,0,0,5.0
7,12.5,7.5,-17.5,0,0,5.0
8,12.5,7.5,-17.5,0,0,5.0
9,12.5,7.5,-17.5,0,1,0.0
10,12.5,7.5,-17.5,1,0,0.0
11,12.5,7.5,-20.0,0,0,5.0
12,12.5,18.75,-20.0,0,0,5.0
13,12.5,18.75,-20.0,0,0,5.0
14,12.5,18.75,-20.0,0,1,0.0
15,12.5,18.75,-20.0,1,0,0.0
16,12.5,18.75,-17.5,0,0,5.0
17,12.5,18.75,-17.5,0,0,5.0
18,12.5,18.75,-17.5,0,0,5.0
19,12.5,18.75,-17.5,0,1,0.0
20,12.5,18.75,-17.5,1,0,0.0
21,12.5,18.75,-20.0,0,0,5.0
22,12.5,30.0,-20.0,0,0,5.0
23,12.5,30.0,-20.0,0,0,5.0
24,12.5,30.0,-20.0,0,1,0.0
25,12.5,30.0,-20.0,1,0,0.0
26,12.5,30.0,-17.5,0,0,5.0
27,12.5,30.0,-17.5,0,0,5.0
28,12.5,30.0,-17.5,0,0,5.0
29,12.5,30.0,-17.5,0,1,0.0
30,12.5,30.0,-17.5,1,0,0.0
31,12.5,30.0,-20.0,0,0,5.0
32,12.5,41.25,-20.0,0,0,5.0
33,12.5,41.25,-20.0,0,0,5.0
34,12.5,41.25,-20.0,0,1,0.0
35,12.5,41.25,-20.0,1,0,0.0
36,12.5,41.25,-17.5,0,0,5.0
37,12.5,41.25,-17.5,0,0,5.0
38,12.5,41.25,-17.5,0,0,5.0
39,12.5,41.25,-17.5,0,1,0.0
40,12.5,41.25,-17.5,1,0,0.0
41,12.5,41.25,-20.0,0,0,5.0
42,12.5,52.5,-20.0,0,0,5.0
43,12.5,52.5,-20.0,0,0,5.0
44,12.5,52.5,-20.0,0,1,0.0
45,12.5,52.5,-20.0,1,0,0.0
46,12.5,52.5,-17.5,0,0,5.0
47,12.5,52.5,-17.5,0,0,5.0
48,12.5,52.5,-17.5,0,0,5.0
49,12.5,52.5,-17.5,0,1,0.0
50,12.5,52.5,-17.5,1,0,0.0
51,12.5,52.5,-20.0,0,0,5.0
52,12.5,63.75,-20.0,0,0,5.0
53,12.5,63.75,-20.0,0,0,5.0
54,12.5,63.75,-20.0,0,1,0.0
55,12.5,63.75,-20.0,1,0,0.0
56,12.5,63.75,-17.5,0,0,5.0
57,12.5,63.75,-17.5,0,0,5.0
58,12.5,63.75,-17.5,0,0,5.0
59,12.5,63.75,-17.5,0,1,0.0
60,12.5,63.75,-17.5,1,0,0.0
61,12.5,63.75,-10.0,0,0,5.0
62,12.5,7.5,-10.0,0,0,5.0
63,12.5,7.5,-10.0,0,0,5.0
64,12.5,7.5,-10.0,0,1,0.0
65,12.5,7.5,-10.0,1,0,0.0
66,12.5,7.5,-7.5,0,0,5.0
67,12.5,7.5,-7.5,0,0,5.0
68,12.5,7.5,-7.5,0,0,5.0
69,12.5,7.5,-7.5,0,1,0.0
70,12.5,7.5,-7.5,1,0,0.0
71,12.5,7.5,-10.0,0,0,5.0
72,12.5,18.75,-10.0,0,0,5.0
73,12.5,18.75,-10.0,0,0,5.0
74,12.5,18.75,-10.0,0,1,0.0
75,12.5,18.75,-10.0,1,0,0.0
76,12.5,18.75,-7.5,0,0,5.0
77,12.5,18.75,-7.5,0,0,5.0
78,12.5,18.75,-7.5,0,0,5.0
79,12.5,18.75,-7.5,0,1,0.0
80,12.5,18.75,-7.5,1,0,0.0
81,12.5,18.75,-10.0,0,0,5.0
82,12.5,30.0,-10.0,0,0,5.0
83,12.5,30.0,-10.0,0,0,5.0
84,12.5,30.0,-10.0,0,1,0.0
85,12.5,30.0,-10.0,1,0,0.0
86,12.5,30.0,-7.5,0,0,5.0
87,12.5,30.0,-7.5,0,0,5.0
88,12.5,30.0,-7.5,0,0,5.0
89,12.5,30.0,-7.5,0,1,0.0
90,12.5,30.0,-7.5,1,0,0.0
91,12.5,30.0,-10.0,0,0,5.0
92,12.5,41.25,-10.0,0,0,5.0
93,12.5,41.25,-10.0,0,0,5.0
94,12.5,41.25,-10.0,0,1,0.0
95,12.5,41.25,-10.0,1,0,0.0
96,12.5,41.25,-7.5,0,0,5.0
97,12.5,41.25,-7.5,0,0,5.0
98,12.5,41.25,-7.5,0,0,5.0
99,12.5,41.25,-7.5,0,1,0.0
100,12.5,41.25,-7.5,1,0,0.0
101,12.5,41.25,-10.0,0,0,5.0
102,12.5,52.5,-10.0,0,0,5.0
103,12.5,52.5,-10.0,0,0,5.0
104,12.5,52.5,-10.0,0,1,0.0
105,12.5,52.5,-10.0,1,0,0.0
106,12.5,52.5,-7.5,0,0,5.0
107,12.5,52.5,-7.5,0,0,5.0
108,12.5,52.5,-7.5,0,0,5.0
109,12.5,52.5,-7.5,0,1,0.0
110,12.5,52.5,-7.5,1,0,0.0
111,12.5,52.5,-10.0,0,0,5.0
112,12.5,63.75,-10.0,0,0,5.0
113,12.5,63.75,-10.0,0,0,5.0
114,12.5,63.75,-10.0,0,1,0.0
115,12.5,63.75,-10.0,1,0,0.0
116,12.5,63.75,-7.5,0,0,5.0
117,12.5,63.75,-7.5,0,0,5.0
118,12.5,63.75,-7.5,0,0,5.0
119,12.5,63.75,-7.5,0,1,0.0
120,12.5,63.75,-7.5,1,0,0.0
121,12.5,63.75,10.0,0,0,20.0
122,12.5,180.0,10.0,0,0,20.0
123,30.0,180.0,10.0,0,0,20.0
